team,season,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_lost,def_interceptions_made,def_sacks,turnover_margin,eff_ratio,td_eff,made_playoffs
LA,2017,446,12,5976,4023,1953,28,18,185,97,7,12,18,48,18,0.075,0.048,1
LAC,2017,332,6,6146,4551,1595,28,11,220,84,11,4,18,43,16,0.054,0.039,0
LV,2017,304,18,5315,3761,1554,23,13,178,78,14,15,5,31,-10,0.057,0.039,0
MIA,2017,263,24,5180,3792,1388,24,4,187,66,21,8,9,30,-14,0.051,0.03,0
MIN,2017,380,0,5886,3929,1957,25,16,196,100,8,7,14,37,5,0.065,0.04,1
NE,2017,457,18,6508,4619,1889,32,17,232,107,8,5,12,42,9,0.07,0.048,1
NO,2017,431,6,6404,4334,2070,23,25,201,111,8,9,20,42,20,0.067,0.049,1
NYG,2017,239,6,5229,3680,1549,20,7,178,66,14,8,13,27,2,0.046,0.027,0
NYJ,2017,306,12,5203,3501,1702,19,14,157,77,12,10,11,28,-3,0.059,0.036,0
PHI,2017,435,12,6082,3967,2115,38,11,193,108,9,10,19,38,14,0.072,0.047,1
PIT,2017,400,12,6209,4542,1667,29,13,218,96,15,4,16,56,8,0.064,0.041,1
SEA,2017,339,6,5591,3979,1612,34,5,183,85,12,6,14,39,9,0.061,0.041,0
SF,2017,332,6,5897,4235,1662,15,16,206,88,15,8,10,30,2,0.056,0.031,0
TB,2017,319,12,6057,4607,1450,26,9,243,76,14,16,13,22,-2,0.053,0.036,0
TEN,2017,332,24,5227,3394,1833,14,18,157,97,17,8,12,43,-1,0.064,0.035,0
WAS,2017,340,24,5541,4093,1448,27,11,191,66,13,11,16,43,7,0.061,0.041,0
ARI,2018,211,24,4226,2884,1342,15,9,137,76,18,10,7,49,-8,0.05,0.029,0
ATL,2018,405,18,6522,4949,1573,36,11,238,84,7,12,15,37,4,0.062,0.049,1
BAL,2018,366,6,6144,3708,2436,18,19,184,153,9,10,12,43,3,0.06,0.034,0
BUF,2018,272,30,5036,3052,1984,13,16,136,108,23,7,16,36,6,0.054,0.031,0
CAR,2018,370,12,6207,4071,2136,28,17,212,117,16,6,13,35,5,0.06,0.047,0
CHI,2018,390,6,5685,3747,1938,28,17,177,108,14,10,27,50,23,0.069,0.047,1
CIN,2018,345,6,5251,3569,1682,27,14,182,92,13,3,12,34,5,0.066,0.046,0
CLE,2018,359,12,6154,4261,1893,29,15,189,93,17,6,17,37,11,0.058,0.045,0
DAL,2018,334,6,5848,3885,1963,22,13,184,113,8,9,9,39,6,0.057,0.036,0
DEN,2018,324,6,5837,3930,1907,19,19,181,107,15,8,17,44,7,0.056,0.039,0
DET,2018,321,18,5504,3844,1660,22,12,201,91,12,9,7,43,-5,0.058,0.035,0
GB,2018,365,6,6296,4629,1667,25,14,208,98,4,8,7,44,6,0.058,0.04,0
HOU,2018,378,0,6186,4165,2021,26,12,202,94,9,9,15,43,18,0.061,0.039,1
IND,2018,437,24,6313,4595,1718,39,13,237,96,15,10,15,38,6,0.069,0.05,1
JAX,2018,224,6,5154,3431,1723,15,7,164,92,13,17,11,37,-13,0.043,0.023,0
KC,2018,537,12,6981,5126,1855,50,16,239,108,12,7,15,52,18,0.077,0.069,1
LA,2018,494,6,6961,4730,2231,32,23,236,134,12,6,18,41,13,0.071,0.054,1
LAC,2018,422,12,6189,4316,1873,32,18,213,100,12,5,13,38,4,0.068,0.056,1
LV,2018,287,18,5685,4057,1628,19,10,197,86,10,14,14,13,-5,0.05,0.031,0
MIA,2018,298,18,5047,3309,1738,26,8,153,75,13,12,21,31,7,0.059,0.042,0
MIN,2018,353,30,5788,4298,1490,30,10,218,66,10,11,12,50,-1,0.061,0.042,0
NE,2018,418,0,6442,4405,2037,29,19,206,131,11,6,18,30,13,0.065,0.046,1
NO,2018,499,6,6199,4174,2025,33,26,210,134,7,9,12,49,15,0.08,0.06,1
NYG,2018,352,6,6055,4405,1650,23,13,208,71,12,5,16,30,8,0.058,0.039,0
NYJ,2018,312,18,5023,3404,1619,18,12,157,84,19,10,13,39,-2,0.062,0.033,0
PHI,2018,368,6,6094,4524,1570,29,12,221,94,11,12,10,44,0,0.06,0.041,0
PIT,2018,413,6,6619,5174,1445,35,17,251,88,17,9,8,52,-6,0.062,0.051,1
SEA,2018,424,12,6001,3448,2553,35,16,156,133,7,5,12,43,19,0.071,0.053,1
SF,2018,338,24,6149,4247,1902,26,8,201,98,20,11,2,37,-18,0.055,0.036,0
TB,2018,394,24,6881,5358,1523,36,12,265,80,26,11,9,38,-17,0.057,0.049,1
TEN,2018,299,6,5278,3255,2023,16,16,156,106,12,5,11,39,6,0.057,0.036,0
WAS,2018,284,18,5061,3287,1774,16,13,156,96,15,5,15,46,13,0.056,0.032,0
ARI,2019,376,18,5781,3827,1954,20,20,174,107,12,7,7,40,7,0.065,0.043,1
ATL,2019,366,18,6410,5049,1361,29,10,258,84,15,9,12,28,7,0.057,0.038,0
BAL,2019,499,0,6637,3350,3287,37,22,171,188,8,7,13,37,13,0.075,0.057,1
BUF,2019,319,6,5530,3476,2054,21,15,162,120,12,8,14,44,9,0.058,0.037,0
CAR,2019,349,6,5953,4134,1819,17,23,230,82,21,13,14,53,-11,0.059,0.04,0
CHI,2019,272,0,5031,3573,1458,20,9,178,85,12,7,10,32,3,0.054,0.03,0
