team,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
LAC,2014,2,0.058,0.039,330,12,5663,4296,1367,31,6,3,214,75,18,15,4,0,7,23,12,17,1,26,556,398,0.6,0.39,0.56,0.44
LV,2014,-10,0.053,0.028,251,24,4696,3456,1240,22,5,1,173,56,16,31,13,0,9,15,5,10,0,22,613,337,0.65,0.33,0.54,0.44
MIA,2014,6,0.062,0.041,370,0,5938,4066,1872,27,13,3,226,99,12,23,10,0,14,22,12,14,3,39,583,400,0.61,0.37,0.56,0.43
MIN,2014,2,0.056,0.034,302,6,5370,3566,1804,17,14,3,171,90,18,17,2,2,13,14,6,9,0,41,499,415,0.57,0.41,0.56,0.42
NE,2014,18,0.073,0.045,440,12,6018,4291,1727,34,13,2,228,96,9,11,4,0,16,20,9,15,0,40,600,438,0.59,0.39,0.59,0.39
NO,2014,-7,0.059,0.047,401,24,6770,4952,1818,33,16,0,258,101,17,21,13,0,12,15,5,11,2,34,642,406,0.62,0.36,0.56,0.42
NYG,2014,7,0.064,0.043,389,18,6073,4470,1603,30,15,1,218,83,14,20,12,0,17,25,11,16,0,47,593,449,0.59,0.41,0.56,0.42
NYJ,2014,-9,0.053,0.028,290,18,5449,3206,2243,16,12,0,154,112,15,23,8,1,6,19,8,8,1,45,483,507,0.52,0.47,0.59,0.39
PHI,2014,1,0.065,0.043,429,18,6573,4581,1992,27,19,4,218,109,21,22,14,0,12,30,17,24,0,49,600,474,0.58,0.41,0.58,0.41
PIT,2014,1,0.059,0.042,399,6,6749,4997,1752,33,10,4,243,98,10,17,11,0,11,18,10,11,1,33,602,423,0.6,0.38,0.61,0.38
SEA,2014,15,0.062,0.043,386,0,6254,3492,2762,20,22,2,160,144,7,25,8,1,13,27,10,17,1,37,447,525,0.49,0.5,0.59,0.4
