team,week,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
CIN,4,2021,0,0.056,0.056,24,21,426,348,78,2,1,0,16,4,0,0,0,0,0,1,0,1,0,1,32,22,0.6,0.4,0.45,0.55
CIN,5,2021,-1,0.057,0.050,22,25,384,281,103,2,1,0,12,6,2,0,0,0,1,0,0,0,0,2,36,24,0.64,0.36,0.63,0.35
CIN,6,2021,0,0.081,0.062,34,11,420,278,142,4,0,0,10,8,1,1,0,0,1,0,0,0,0,1,29,36,0.47,0.49,0.69,0.29
CIN,7,2021,-1,0.078,0.082,41,17,527,416,111,3,2,0,15,3,1,1,0,0,0,1,0,1,0,5,37,24,0.6,0.38,0.66,0.34
CIN,8,2021,2,0.090,0.080,31,34,346,305,41,3,1,0,13,3,1,1,0,0,2,1,1,1,0,2,34,16,0.7,0.28,0.66,0.3
CIN,9,2021,-3,0.046,0.031,17,35,373,288,85,0,2,0,15,6,2,3,1,0,0,3,0,2,0,2,40,24,0.66,0.34,0.5,0.5
CIN,11,2021,1,0.104,0.045,32,13,307,148,159,1,2,0,10,10,0,1,1,0,1,4,1,3,0,2,29,38,0.46,0.54,0.62,0.38
CLE,1,2021,-2,0.061,0.074,29,33,474,321,153,0,4,0,14,9,1,2,1,0,0,0,0,0,0,2,27,27,0.53,0.47,0.63,0.34
CLE,2,2021,-2,0.084,0.074,31,21,369,213,156,1,3,0,10,11,1,3,2,0,1,2,0,1,0,1,20,34,0.4,0.54,0.52,0.48
CLE,3,2021,0,0.056,0.027,26,6,461,246,215,1,1,0,13,11,0,1,0,0,0,0,0,0,0,9,31,42,0.45,0.51,0.69,0.31
CLE,4,2021,1,0.041,0.014,14,7,339,155,184,0,1,0,9,10,0,0,0,0,1,0,0,0,0,2,33,38,0.49,0.51,0.63,0.35
CLE,5,2021,1,0.079,0.075,42,47,535,305,230,2,3,0,12,10,0,1,0,0,0,2,1,2,0,2,32,35,0.48,0.51,0.66,0.33
CLE,6,2021,-3,0.045,0.041,14,37,313,240,73,2,0,0,11,4,1,2,2,0,0,4,0,0,0,2,30,19,0.65,0.35,0.46,0.49
CLE,7,2021,1,0.045,0.030,17,14,381,199,182,1,1,0,11,12,0,0,0,0,1,0,0,0,0,2,33,33,0.51,0.48,0.71,0.29
CLE,8,2021,-1,0.031,0.019,10,15,321,225,96,0,1,0,10,7,0,2,1,0,0,0,0,0,0,2,31,23,0.6,0.4,0.55,0.44
CLE,9,2021,3,0.094,0.091,35,17,371,218,153,2,2,1,7,6,0,3,0,0,2,3,1,1,0,5,21,23,0.5,0.5,0.66,0.34
CLE,10,2021,-1,0.028,0.019,7,45,253,154,99,1,0,0,12,4,1,2,0,0,0,0,0,0,0,2,32,20,0.66,0.34,0.45,0.52
DAL,1,2021,3,0.063,0.040,29,31,463,403,60,3,0,0,21,4,1,1,0,0,2,2,2,2,0,0,57,18,0.77,0.23,0.78,0.22
DAL,2,2021,1,0.046,0.035,20,17,435,237,198,0,2,0,13,11,1,1,0,0,2,0,0,0,0,2,26,31,0.48,0.52,0.68,0.32
DAL,3,2021,1,0.090,0.075,36,16,398,238,160,3,2,1,14,9,0,2,1,0,2,0,0,0,0,2,26,41,0.42,0.54,0.77,0.23
DAL,4,2021,2,0.086,0.089,36,28,418,188,230,4,1,0,10,12,0,1,0,0,2,0,0,0,0,5,22,34,0.41,0.55,0.65,0.35
DAL,5,2021,0,0.072,0.056,38,21,525,324,201,3,1,1,13,10,1,2,1,0,2,1,0,0,0,0,32,39,0.47,0.53,0.61,0.39
DAL,6,2021,0,0.051,0.037,29,30,567,445,122,3,0,1,25,5,1,1,1,0,1,2,1,2,0,2,50,31,0.63,0.37,0.47,0.49
DAL,8,2021,-2,0.046,0.031,20,16,438,360,78,2,0,0,17,4,1,2,1,0,0,1,0,1,0,1,40,24,0.65,0.35,0.61,0.38
DAL,9,2021,0,0.052,0.036,16,30,310,232,78,2,0,0,11,2,1,0,0,0,0,2,1,0,0,4,38,18,0.69,0.31,0.45,0.53
DAL,10,2021,2,0.086,0.068,37,9,431,317,114,2,3,0,14,8,0,1,1,0,3,1,0,1,0,2,35,38,0.48,0.48,0.55,0.45
DAL,11,2021,-1,0.030,0.000,9,19,298,216,82,0,0,0,14,1,2,2,1,0,1,1,1,1,0,3,41,16,0.75,0.25,0.61,0.36
DEN,1,2021,0,0.063,0.047,27,13,429,264,165,2,1,0,17,4,0,1,1,0,0,1,1,1,0,2,36,28,0.58,0.42,0.64,0.32
DEN,2,2021,2,0.054,0.031,23,13,424,328,96,2,0,0,11,9,0,0,0,0,2,0,0,0,0,1,34,30,0.55,0.42,0.69,0.31
DEN,3,2021,1,0.073,0.032,26,,355,235,120,0,2,0,10,9,0,1,1,0,2,0,0,0,0,5,25,37,0.42,0.56,0.75,0.25
