team,season,week,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
LAC,2021,1,-1,0.047,0.027,20,16,427,337,90,1,1,0,20,6,1,2,1,0,0,3,1,3,0,1,46,29,0.63,0.33,0.45,0.55
LAC,2021,2,-1,0.039,0.017,17,20,433,338,95,1,0,0,13,7,2,0,0,0,1,1,0,1,0,2,39,20,0.68,0.32,0.48,0.52
LAC,2021,3,4,0.084,0.067,30,24,358,281,77,4,0,0,16,3,0,1,0,0,2,2,2,2,0,2,38,22,0.65,0.34,0.61,0.39
LAC,2021,4,1,0.072,0.055,28,14,390,222,168,3,1,0,13,11,0,1,0,0,1,1,0,1,0,4,39,34,0.55,0.43,0.68,0.32
LAC,2021,5,-1,0.092,0.104,47,42,510,398,112,4,3,0,14,9,0,2,1,0,0,1,0,1,0,1,43,24,0.66,0.33,0.48,0.51
LAC,2021,6,1,0.027,0.02,6,34,221,195,26,1,0,0,11,3,1,0,0,0,2,2,0,1,0,3,38,12,0.77,0.23,0.44,0.53
LV,2021,1,1,0.064,0.053,33,27,517,435,82,2,2,0,17,6,1,2,0,0,0,3,2,2,0,3,55,21,0.71,0.26,0.49,0.49
LV,2021,2,1,0.06,0.032,26,17,434,382,52,2,0,0,17,4,0,2,0,0,1,1,0,0,0,2,37,25,0.61,0.39,0.75,0.25
LV,2021,3,-1,0.057,0.039,30,22,526,386,140,2,1,0,18,7,1,2,0,0,0,2,0,1,1,2,42,35,0.57,0.41,0.65,0.34
LV,2021,4,-1,0.057,0.039,14,28,244,196,48,2,0,0,8,2,1,1,0,0,0,1,0,0,0,2,33,18,0.68,0.32,0.55,0.43
LV,2021,5,-1,0.032,0.018,9,20,277,206,71,0,1,0,7,6,1,0,0,0,0,1,0,0,0,2,34,22,0.64,0.36,0.37,0.62
LV,2021,6,4,0.08,0.08,34,24,427,341,86,2,2,0,11,4,0,1,0,0,3,1,1,1,0,5,27,23,0.56,0.42,0.7,0.3
